ID;RFERR;ARCH1;ARCH2;QSURF;QPERC;ESOIL;QINTF;Q_TDH;SNOWM;INTRC
190;multiplc_e;tension2_1;fixedsiz_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
192;multiplc_e;onestate_1;fixedsiz_2;prms_varnt;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
194;multiplc_e;tension1_1;tens2pll_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
198;multiplc_e;onestate_1;tens2pll_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
200;multiplc_e;tension1_1;unlimfrc_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
202;multiplc_e;tension2_1;unlimfrc_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
204;multiplc_e;onestate_1;unlimfrc_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
206;multiplc_e;tension1_1;unlimpow_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
208;multiplc_e;tension2_1;unlimpow_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
210;multiplc_e;onestate_1;unlimpow_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
212;multiplc_e;tension1_1;fixedsiz_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
214;multiplc_e;tension2_1;fixedsiz_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
216;multiplc_e;onestate_1;fixedsiz_2;tmdl_param;perc_lower;sequential;intflwnone;rout_gamma;temp_index;no_intrcep
